AccessTmobile_TMO.apk                                                 com.tmobile.pr.mytmobile                                              
AdaptClient.apk                                                       com.tmobile.pr.adapt                                                  
AdvSoundDetector2015.apk                                              com.samsung.android.app.advsounddetector                              
AllShareCastPlayer.apk                                                com.sec.allsharecastplayer                                            
AllshareFileShare.apk                                                 com.samsung.android.allshare.service.fileshare                        
AllshareFileShareClient.apk                                           com.samsung.android.app.FileShareClient                               
AllshareFileShareServer.apk                                           com.samsung.android.app.FileShareServer                               
AllshareMediaShare.apk                                                com.samsung.android.allshare.service.mediashare                       
AmazonShopping_TMO.apk                                                com.amazon.mShop.android                                              
AODService.apk                                                        com.samsung.android.app.aodservice                                    
AppsEdgePanel.apk                                                     com.samsung.android.app.appsedge                                      
BBCAgent.apk                                                          com.samsung.android.bbc.bbcagent                                      
BriefingPanel.apk                                                     com.samsung.android.widgetapp.briefing                                
CatchFavorites_M.apk                                                  com.samsung.android.widgetapp.yahooedge                               
com.mobitv.client.tmobiletvhd.apk                                     com.mobitv.client.tmobiletvhd                                         
ContainerAgent2.apk                                                   com.sec.knox.containeragent2                                          
EdmSimPinService.apk                                                  com.sec.enterprise.mdm.services.simpin                                
EdmVpnServices.apk                                                    com.sec.enterprise.mdm.vpn                                            
EmergencyLauncher.apk                                                 com.sec.android.emergencylauncher                                     
EnhanceService.apk                                                    com.samsung.enhanceservice                                            
FaceService.apk                                                       com.samsung.faceservice                                               
FidoUafAsm.apk                                                        com.sec.android.fido.uaf.asm                                          
FidoUafClient.apk                                                     com.sec.android.fido.uaf.client                                       
FlipboardBriefing.apk                                                 flipboard.boxer.app                                                   
Fmm.apk                                                               com.samsung.android.fmm                                               
GalaxyAppsWidget_Phone_Hero.apk                                       com.sec.android.widgetapp.samsungapps                                 
HancomOfficeEditor_Hidden.apk                                         com.hancom.office.editor                                              
HealthService.apk                                                     com.sec.android.service.health                                        
Hs20Provider.apk                                                      com.samsung.hs20provider                                              
intelligenceservice2.apk                                              com.samsung.android.intelligenceservice2                              
KLMSAgent.apk                                                         com.samsung.klmsagent                                                 
KnoxAppsUpdateAgent.apk                                               com.samsung.knox.appsupdateagent                                      
KnoxAttestationAgent.apk                                              com.sec.enterprise.knox.attestation                                   
KnoxBBCProvider.apk                                                   com.samsung.android.bbc.fileprovider                                  
KnoxBluetooth.apk                                                     com.sec.knox.bluetooth                                                
KnoxFolderContainer.apk                                               com.sec.knox.foldercontainer                                          
KnoxKeyguard.apk                                                      com.samsung.knox.kss                                                  
KnoxSetupWizardClient.apk                                             com.sec.knox.knoxsetupwizardclient                                    
KnoxShortcuts.apk                                                     com.sec.knox.shortcutsms                                              
KnoxSwitcher.apk                                                      com.sec.knox.switcher                                                 
KnoxTrustAgent.apk                                                    com.samsung.knox.knoxtrustagent                                       
Lookout_TMO.apk                                                       com.lookout                                                           
MDMApp.apk                                                            com.samsung.android.mdm                                               
MILK_US.apk                                                           com.samsung.mdl.radio                                                 
MobileTrackerEngineTwo.apk                                            com.sec.android.app.mt                                                
MyPlaces_Hero.apk                                                     com.sec.android.widgetapp.locationwidget                              
PartnerBookmarksProvider.apk                                          com.android.providers.partnerbookmarks                                
PeopleStripe.apk                                                      com.samsung.android.service.peoplestripe                              
PersonalPageService.apk                                               com.samsung.android.personalpage.service                              
RCPComponents.apk                                                     com.samsung.knox.rcp.components                                       
RootPA.apk                                                            com.gd.mobicore.pa                                                    
SAMSUNG_PLUS_HERO.apk                                                 com.samsung.oh                                                        
SamsungContentsAgent.apk                                              com.sec.android.app.SamsungContentsAgent                              
SamsungDLPService.apk                                                 com.samsung.android.dlp.service                                       
SamsungTTS.apk                                                        com.samsung.SMT                                                       
SBrowser_4_LATEST.apk                                                 com.sec.android.app.sbrowser                                          
SBrowserEdge.apk                                                      com.samsung.android.app.sbrowseredge                                  
SCloudServiceHero.apk                                                 com.samsung.android.scloud                                            
SCPMClient.apk                                                        com.samsung.android.sm.policy                                         
SecEmail_M.apk                                                        com.samsung.android.email.provider                                    
SecSetupWizard2015.apk                                                com.sec.android.app.SecSetupWizard                                    
SecurityLogAgent.apk                                                  com.samsung.android.securitylogagent                                  
SFinder_v4.apk                                                        com.samsung.android.app.galaxyfinder                                  
SharedDeviceKeyguard.apk                                              com.sec.enterprise.knox.shareddevice.keyguard                         
SHealth4.apk                                                          com.sec.android.app.shealth                                           
SimLock_TMO.apk                                                       com.tmobile.simlock                                                   
smartfaceservice.apk                                                  com.samsung.android.smartface                                         
SmartManager_v3_DeviceSecurity.apk                                    com.samsung.android.sm.devicesecurity                                 
SmartManagerSDK.apk                                                   com.cleanmaster.sdk                                                   
SNS_v2.apk                                                            com.sec.android.app.sns3                                              
SnsImageCache.apk                                                     com.sec.android.app.snsimagecache                                     
SPDClient.apk                                                         com.policydm                                                          
SPPPushClient_Prod.apk                                                com.sec.spp.push                                                      
STalkback.apk                                                         com.samsung.android.app.talkback                                      
StoryService.apk                                                      com.samsung.storyservice                                              
TaskEdgePanel.apk                                                     com.samsung.android.app.taskedge                                      
UniversalMDMClient.apk                                                com.sec.enterprise.knox.cloudmdm.smdms                                
VoiceWakeUp.apk                                                       com.samsung.android.voicewakeup                                       
Weather2016.apk                                                       com.samsung.android.weather                                           
WhitePagesNameId-release_TMO.apk                                      com.whitepages.nameid.tmobile                                         
withTV.apk                                                            com.samsung.android.app.withtv
